source,night,stamp,receiver,beacon,mac,window,n_windows,sfo_median,sfo_iqr,sfo_sd,cfo_median,cfo_iqr,cfo_sd
night8_block_T0+6000,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+6000..6300,390,0.011042,0.000644,0.000435,-0.3071,6.9679,5.6563
night8_block_T0+7800,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+7800..8100,229,0.006716,0.000706,0.000542,-0.2811,3.7989,2.8983
night8_block_T0+7800,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+7800..8100,186,0.009739,0.000877,0.000633,-0.3764,3.4535,2.5553
night8_block_T0+7800,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+7800..8100,236,0.028446,0.001478,0.001023,0.1832,4.5242,3.1607
night8_block_T0+7800,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+7800..8100,208,0.021613,0.002597,0.004458,-0.7338,5.8601,4.3047
night8_block_T0+7800,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+7800..8100,367,0.010376,0.000591,0.000452,-0.4167,6.6515,4.9467
night8_block_T0+7800,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+7800..8100,384,0.011007,0.000637,0.000453,0.6254,6.5645,5.0645
night8_block_T0+9600,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+9600..9900,225,0.006549,0.000705,0.000555,-0.5818,3.8231,2.8801
night8_block_T0+9600,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+9600..9900,187,0.009932,0.001077,0.000783,-0.1490,3.2379,2.4983
night8_block_T0+9600,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+9600..9900,241,0.027621,0.001585,0.001185,-1.0754,4.3025,3.3633
night8_block_T0+9600,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+9600..9900,207,0.022712,0.003633,0.005695,-0.7785,5.0268,3.7733
night8_block_T0+9600,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+9600..9900,372,0.010018,0.000607,0.000466,0.8234,5.9868,4.7598
